card_id,b,g,r,l_star,a_star,b_star
0M 3,176.74127259523303,228.28459956989468,248.19791301746247,91.19829674640278,-0.7411658360332183,27.643240800169792
0M 2,171.9159478175205,223.9357645915972,247.04560067066672,89.93867718197845,0.4311119099594407,28.438608201946437
0M 1,176.18675626656943,225.9017636331398,247.2722704346668,90.50081187328144,0.10143293857439062,27.0758681978499
1M 1,151.77639067185214,213.87876439463201,244.87003405920333,86.89583906304264,2.4079155672823163,34.57704343377404
1M 2,140.974434975917,210.77413566389876,245.1625123805234,85.99825095850579,2.972277314037882,38.884051302790255
2L 2.5,130.86313449008597,210.0396237035786,246.9068701538115,85.81539859016459,2.9737697189738412,43.86275594207794
2L 1.5,139.16081519761758,209.93273210707773,245.49191892385858,85.78779448746937,3.338850106689563,39.57698198980694
2M 3,125.77985917554302,208.4003344476973,247.6252412903476,85.41161656700017,3.643494175097487,45.993721026113604
2M 2,134.23068499441425,207.87202001156894,245.84668155464988,85.2315507580616,4.0258583956303085,41.428414043423174
2M 1,142.09306986639774,206.5193685684145,243.6023159789722,84.82439332024678,4.617123139221917,36.746049544080364
2R 2.5,128.95388351544014,207.73728124654514,247.1373279771234,85.24724406993188,4.081199721660425,44.14126012766832
2R 1.5,141.37025310488892,210.43166267236288,246.65057135910527,86.03742435461905,3.771752085225046,38.81588343579591
3L 2.5,123.97661735925156,210.03015835424333,248.0942671957249,85.85375796220443,2.8174400341727903,47.43457408244183
3L 1.5,122.39391156072068,199.30107044497458,240.8068493170102,82.4686436847507,5.3257840881869924,43.756777098827655
3M 3,123.34270286830315,208.92096495595058,247.81409273192557,85.53599343732344,3.3010082361343223,47.245068497844386
3M 2,119.71572556932428,199.14993960778514,242.29584860745766,82.53747862899972,5.757386689767117,45.238178444028904
3M 1,129.3914015441618,197.43610909868698,238.49174515120782,81.91003118005982,5.9697915588582475,39.46557650776566
3R 2.5,117.26310855608297,198.89775100721903,243.24672241154678,82.52059573576932,6.013915083084555,46.48000107210075
3R 1.5,125.20097532214056,196.6058282920816,239.7471156159896,81.77082659917903,6.531561824109929,41.342083229553225
4L 2.5,101.39398886569892,190.74097365398234,240.864115740132,80.11629780111353,8.045565068115991,51.22794548050297
4L 1.5,111.05194773049554,188.43374410746452,235.3016379332371,79.12720681230832,7.687811394151538,45.08352469435465
4M 3,97.12016532479763,187.84287883984126,240.21538835268564,79.29645405650271,9.01674138128132,52.33590275396165
4M 2,106.76800853227499,187.8272376244474,237.0717404457216,79.08198204197365,8.410085779100058,47.313843012617355
4M 1,120.3603395913327,191.85355818395817,237.85975726937696,80.3276012162636,7.781621934512884,42.03260694232736
4R 2.5,105.71878677197375,192.68403528806056,244.60466104793926,81.0107754488734,8.907569785738644,50.300430781975365
4R 1.5,115.17682776768459,190.45289712554154,240.5295091298909,80.16755928111503,9.18146684982122,44.493188627602024
5M 3,91.08045753649486,186.02451297708367,244.1599364398141,79.184219000355,11.227443015005719,55.02824146754202
5M 2,96.21902235176425,181.63837307524875,238.11076779593097,77.55375165637244,11.362424069445296,50.683040566448426
5M 1,106.67890167314428,179.52688621203512,231.53365972231285,76.47690386824503,10.48725028735376,44.04248782052912
